year,month,day,departure_time,arrival_time,carrier,flight_number,aircraft_registration,flight_time,airport_origin,airport_destination,distance,is_cancelled,is_diverted
2008,1,3,1343,1451,WN,588,N240WN,68,HOU,LIT,393,0,0
2008,1,3,1125,1247,WN,1343,N523SW,82,HOU,MAF,441,0,0
2008,1,3,2009,2136,WN,3841,N280WN,87,HOU,MAF,441,0,0
2008,1,3,903,1203,WN,3,N308SA,120,HOU,MCO,848,0,0
2008,1,3,1423,1726,WN,25,N462WN,123,HOU,MCO,848,0,0
2008,1,3,2024,2325,WN,51,N483WN,121,HOU,MCO,848,0,0
2008,1,3,1753,2053,WN,940,N493WN,120,HOU,MCO,848,0,0
2008,1,3,622,935,WN,2621,N266WN,133,HOU,MCO,848,0,0
2008,1,3,1944,2210,WN,389,N266WN,146,HOU,MDW,937,0,0
2008,1,3,1453,1716,WN,519,N514SW,143,HOU,MDW,937,0,0
2008,1,3,2030,2251,WN,894,N716SW,141,HOU,MDW,937,0,0
2008,1,3,708,936,WN,969,N215WN,148,HOU,MDW,937,0,0
2008,1,3,1749,2039,WN,2174,N623SW,170,HOU,MDW,937,0,0
2008,1,3,1217,1431,WN,2445,N651SW,134,HOU,MDW,937,0,0
2008,1,3,954,1206,WN,2974,N447WN,132,HOU,MDW,937,0,0
2008,1,3,1758,1854,WN,41,N240WN,56,HOU,MSY,303,0,0
2008,1,3,2210,2305,WN,78,N268WN,55,HOU,MSY,303,0,0
2008,1,3,740,836,WN,311,N504SW,56,HOU,MSY,303,0,0
2008,1,3,1011,1116,WN,521,N332SW,65,HOU,MSY,303,0,0
2008,1,3,1612,1707,WN,714,N305SW,55,HOU,MSY,303,0,0
2008,1,3,1124,1229,WN,788,N426WN,65,HOU,MSY,303,0,0
2008,1,3,824,922,WN,880,N523SW,58,HOU,MSY,303,0,0
2008,1,3,2112,2207,WN,1257,N507SW,55,HOU,MSY,303,0,0
2008,1,3,641,737,WN,1317,N366SW,56,HOU,MSY,303,0,0
2008,1,3,1713,1810,WN,1776,N408WN,57,HOU,MSY,303,0,0
2008,1,3,1414,1516,WN,3234,N296WN,62,HOU,MSY,303,0,0
2008,1,3,1915,2138,WN,1192,N274WN,263,HOU,OAK,1642,0,0
